layer,type,I0_1,I0_2,I0_3,I1_1,I1_2,I1_3,O_1,O_2,O_3,K_1,K_2,S_1,S_2,p_1,p_2,Misc
conv5_block1_0_conv,Conv2D,14,14,1024,,,,7,7,2048,1,1,2,2,0,0,
conv5_block1_3_conv,Conv2D,7,7,512,,,,7,7,2048,1,1,1,1,0,0,
conv5_block1_0_bn,BatchNormalization,7,7,2048,,,,7,7,2048,,,,,,,
conv5_block1_3_bn,BatchNormalization,7,7,2048,,,,7,7,2048,,,,,,,
conv5_block1_add,Add,7,7,2048,7,7,2048,7,7,2048,,,,,,,
conv5_block1_out,Activation,7,7,2048,,,,7,7,2048,,,,,,,
conv5_block2_1_conv,Conv2D,7,7,2048,,,,7,7,512,1,1,1,1,0,0,
conv5_block2_1_bn,BatchNormalization,7,7,512,,,,7,7,512,,,,,,,
conv5_block2_1_relu,Activation,7,7,512,,,,7,7,512,,,,,,,
conv5_block2_2_conv,Conv2D,7,7,512,,,,7,7,512,3,3,1,1,1,1,
conv5_block2_2_bn,BatchNormalization,7,7,512,,,,7,7,512,,,,,,,
conv5_block2_2_relu,Activation,7,7,512,,,,7,7,512,,,,,,,
conv5_block2_3_conv,Conv2D,7,7,512,,,,7,7,2048,1,1,1,1,0,0,
conv5_block2_3_bn,BatchNormalization,7,7,2048,,,,7,7,2048,,,,,,,
conv5_block2_add,Add,7,7,2048,7,7,2048,7,7,2048,,,,,,,
conv5_block2_out,Activation,7,7,2048,,,,7,7,2048,,,,,,,
conv5_block3_1_conv,Conv2D,7,7,2048,,,,7,7,512,1,1,1,1,0,0,
conv5_block3_1_bn,BatchNormalization,7,7,512,,,,7,7,512,,,,,,,
conv5_block3_1_relu,Activation,7,7,512,,,,7,7,512,,,,,,,
conv5_block3_2_conv,Conv2D,7,7,512,,,,7,7,512,3,3,1,1,1,1,
conv5_block3_2_bn,BatchNormalization,7,7,512,,,,7,7,512,,,,,,,
conv5_block3_2_relu,Activation,7,7,512,,,,7,7,512,,,,,,,
conv5_block3_3_conv,Conv2D,7,7,512,,,,7,7,2048,1,1,1,1,0,0,
conv5_block3_3_bn,BatchNormalization,7,7,2048,,,,7,7,2048,,,,,,,
conv5_block3_add,Add,7,7,2048,7,7,2048,7,7,2048,,,,,,,
conv5_block3_out,Activation,7,7,2048,,,,7,7,2048,,,,,,,
avg_pool,GlobalAveragePooling2D,7,7,2048,,,,2048,,,,,,,,,
probs,Dense,2048,,,,,,1000,,,,,,,,,
